price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,sqft_living15,sqft_lot15,month
221900,3,1.0,1180,5650,1,0,3,7,1180,0,1955,0,98178,1340,5650,10
538000,3,2.25,2570,7242,2,0,3,7,2170,400,1951,1991,98125,1690,7639,12
180000,2,1.0,770,10000,1,0,3,6,770,0,1933,0,98028,2720,8062,2
604000,4,3.0,1960,5000,1,0,5,7,1050,910,1965,0,98136,1360,5000,12
510000,3,2.0,1680,8080,1,0,3,8,1680,0,1987,0,98074,1800,7503,2
1230000,4,4.5,5420,101930,1,0,3,11,3890,1530,2001,0,98053,4760,101930,5
229500,3,1.0,1780,7470,1,0,3,7,1050,730,1960,0,98146,1780,8113,4
323000,3,2.5,1890,6560,2,0,3,7,1890,0,2003,0,98038,2390,7570,3
662500,3,2.5,3560,9796,1,0,3,8,1860,1700,1965,0,98007,2210,8925,4
468000,2,1.0,1160,6000,1,0,4,7,860,300,1942,0,98115,1330,6000,5
310000,3,1.0,1430,19901,1,0,4,7,1430,0,1927,0,98028,1780,12697,5
400000,3,1.75,1370,9680,1,0,4,7,1370,0,1977,0,98074,1370,10208,10
530000,5,2.0,1810,4850,1,0,3,7,1810,0,1900,0,98107,1360,4850,3
650000,4,3.0,2950,5000,2,3,3,9,1980,970,1979,0,98126,2140,4000,1
395000,3,2.0,1890,14040,2,0,3,7,1890,0,1994,0,98019,1890,14018,7
485000,4,1.0,1600,4300,1,0,4,7,1600,0,1916,0,98103,1610,4300,5
230000,3,1.0,1250,9774,1,0,4,7,1250,0,1969,0,98003,1280,8850,4
385000,4,1.75,1620,4980,1,0,4,7,860,760,1947,0,98133,1400,4980,5
2000000,3,2.75,3050,44867,1,4,3,9,2330,720,1968,0,98040,4110,20336,8
285000,5,2.5,2270,6300,2,0,3,8,2270,0,1995,0,98092,2240,7005,7
